Brand Name	Discounted Price	Original Price	Price Change
AINEA	"HKD 2,117"	"HKD 4,235"	50% off
M MISSONI	"HKD 3,339"	"HKD 7,420"	55% off
KARL DONOGHUE	"HKD 3,194"		
LOVE MOSCHINO	"HKD 1,955"	"HKD 3,910"	50% off
ALICE+OLIVIA	"HKD 1,908"	"HKD 3,814"	50% off
CURRENT/ELLIOT + CHARLOTTE GAINSBOURG	"HKD 1,592"	"HKD 4,550"	65% off
M MISSONI	"HKD 3,290"	"HKD 6,715"	51% off
W118 BY WALTER BAKER	"HKD 3,110"	"HKD 6,220"	50% off
KARL DONOGHUE	"HKD 6,597"		
BELSTAFF	"HKD 3,814"	"HKD 9,781"	61% off
TORY BURCH	"HKD 2,035"	"HKD 4,070"	50% off
VINCE.	"HKD 8,634"	"HKD 16,930"	49% off
RAG & BONE	"HKD 3,176"	"HKD 5,775"	45% off
SIMONE ROCHA	"HKD 11,200"	"HKD 28,000"	60% off
VALENTINO	"HKD 10,850"	"HKD 27,125"	60% off
AINEA	"HKD 1,638"	"HKD 3,274"	50% off
KARL DONOGHUE	"HKD 3,154"		
DOLCE & GABBANA	"HKD 4,816"	"HKD 12,040"	60% off
AMANDA WAKELEY	"HKD 4,958"	"HKD 12,395"	60% off
ISABEL MARANT	"HKD 8,694"	"HKD 19,320"	55% off
COACH	"HKD 5,122"	"HKD 10,455"	51% off
MSGM	"HKD 1,536"	"HKD 3,415"	55% off
JOSEPH	"HKD 2,602"	"HKD 5,205"	50% off
MAJE	"HKD 1,430"	"HKD 2,861"	50% off
AMANDA WAKELEY	"HKD 5,232"	"HKD 13,080"	60% off
TART COLLECTIONS	"HKD 4,124"	"HKD 6,345"	35% off
AINEA	"HKD 2,117"	"HKD 4,235"	50% off
THEORY	"HKD 1,959"	"HKD 4,355"	55% off
BELSTAFF	"HKD 2,276"	"HKD 5,690"	60% off
CARVEN	"HKD 3,004"	"HKD 6,259"	52% off
J.W.ANDERSON	"HKD 3,980"	"HKD 9,950"	60% off
SEE BY CHLOÉ	"HKD 1,305"	"HKD 2,610"	50% off
GOEN.J	"HKD 3,629"	"HKD 8,065"	55% off
VINCE.	"HKD 8,634"	"HKD 16,930"	49% off
NORMA KAMALI	"HKD 1,210"	"HKD 3,025"	60% off
CLAUDIE PIERLOT	"HKD 2,493"	"HKD 4,155"	40% off
MSGM	"HKD 2,036"	"HKD 4,525"	55% off
NICHOLAS	"HKD 3,111"	"HKD 6,915"	55% off
NICHOLAS	"HKD 2,954"	"HKD 6,565"	55% off
NORMA KAMALI	"HKD 1,228"	"HKD 3,070"	60% off
SONIA RYKIEL	"HKD 4,290"	"HKD 9,535"	55% off
BELSTAFF	"HKD 4,628"	"HKD 11,572"	60% off
LOVE MOSCHINO	"HKD 1,788"	"HKD 3,572"	50% off
RAG & BONE	"HKD 2,384"	"HKD 4,766"	50% off
IRO	"HKD 1,970"	"HKD 4,478"	56% off
MAJE	"HKD 2,114"	"HKD 3,522"	40% off
LOVE MOSCHINO	"HKD 1,960"	"HKD 4,358"	55% off
AINEA	"HKD 1,532"	"HKD 3,065"	50% off
CAROLINA HERRERA	"HKD 10,474"	"HKD 29,095"	64% off
3.1 PHILLIP LIM	"HKD 4,675"	"HKD 10,390"	55% off
AINEA	"HKD 1,338"	"HKD 2,905"	54% off
GOAT	"HKD 1,529"	"HKD 3,325"	54% off
RAG & BONE	"HKD 3,282"	"HKD 6,565"	50% off
ELIE TAHARI	"HKD 2,397"	"HKD 4,795"	50% off
CLAUDIE PIERLOT	"HKD 2,598"	"HKD 4,330"	40% off
PAPER LONDON	"HKD 1,727"	"HKD 3,455"	50% off
3.1 PHILLIP LIM	"HKD 2,604"	"HKD 6,510"	60% off
STELLA MCCARTNEY	"HKD 2,814"	"HKD 6,255"	55% off
THEORY	"HKD 1,642"	"HKD 3,650"	55% off
JOSEPH	"HKD 4,204"	"HKD 8,408"	50% off
DKNY	"HKD 2,199"	"HKD 4,398"	50% off
AINEA	"HKD 1,379"	"HKD 3,065"	55% off
T BY ALEXANDER WANG	"HKD 3,858"	"HKD 8,575"	55% off
STELLA JEAN	"HKD 8,088"	"HKD 20,220"	60% off
RAG & BONE	"HKD 3,455"	"HKD 6,520"	47% off
ISABEL MARANT	"HKD 7,854"	"HKD 17,455"	55% off
ISABEL MARANT	"HKD 7,854"	"HKD 17,455"	55% off
PAPER LONDON	"HKD 2,035"	"HKD 4,330"	53% off
THE ROW	"HKD 20,721"	"HKD 41,442"	50% off
KARL DONOGHUE	"HKD 4,269"		
BELSTAFF	"HKD 4,311"	"HKD 9,580"	55% off
THEORY	"HKD 7,132"	"HKD 16,587"	57% off
BELSTAFF	"HKD 2,614"	"HKD 6,080"	57% off
