Brand Name	Discounted Price	Original Price	Price Change
GOEN.J	"HKD 3,830"	"HKD 8,706"	56% off
STELLA JEAN	"HKD 4,804"	"HKD 10,920"	56% off
T BY ALEXANDER WANG	"HKD 2,539"	"HKD 6,348"	60% off
STELLA JEAN	"HKD 4,628"	"HKD 10,520"	56% off
STELLA JEAN	"HKD 4,466"	"HKD 9,925"	55% off
IRO	"HKD 2,308"	"HKD 6,239"	63% off
MSGM	"HKD 1,813"	"HKD 4,030"	55% off
STELLA JEAN	"HKD 4,192"	"HKD 9,750"	57% off
STELLA JEAN	"HKD 4,190"	"HKD 10,475"	60% off
3.1 PHILLIP LIM	"HKD 3,582"	"HKD 8,955"	60% off
STELLA JEAN	"HKD 3,939"	"HKD 9,380"	58% off
ISABEL MARANT	"HKD 2,238"	"HKD 4,975"	55% off
STELLA JEAN	"HKD 3,644"	"HKD 9,110"	60% off
MAISON KITSUNÉ	"HKD 2,798"	"HKD 5,597"	50% off
STELLA JEAN	"HKD 3,494"	"HKD 7,280"	52% off
STELLA JEAN	"HKD 3,482"	"HKD 8,495"	59% off
STELLA JEAN	"HKD 3,468"	"HKD 8,670"	60% off
STELLA JEAN	"HKD 3,468"	"HKD 8,670"	60% off
STELLA JEAN	"HKD 3,325"	"HKD 7,230"	54% off
STELLA JEAN	"HKD 3,318"	"HKD 7,900"	58% off
MM6 MAISON MARGIELA	"HKD 1,748"	"HKD 3,881"	55% off
STELLA JEAN	"HKD 3,229"	"HKD 7,690"	58% off
STELLA JEAN	"HKD 2,977"	"HKD 7,090"	58% off
COACH	"HKD 2,574"	"HKD 4,680"	45% off
THEORY	"HKD 1,830"	"HKD 3,897"	53% off
DKNY	"HKD 2,088"	"HKD 3,940"	47% off
AINEA	"HKD 1,452"	"HKD 2,905"	50% off
DUVETICA	"HKD 1,314"	"HKD 2,736"	52% off
TOPSHOP UNIQUE	"HKD 1,740"	"HKD 3,483"	50% off
MARC BY MARC JACOBS	"HKD 1,834"	"HKD 5,555"	67% off
MARNI	"HKD 8,820"	"HKD 19,600"	55% off
HAIDER ACKERMANN	"HKD 8,654"	"HKD 18,030"	52% off
MARNI	"HKD 5,470"	"HKD 10,940"	50% off
VINCE.	"HKD 1,482"	"HKD 3,026"	51% off
DOLCE & GABBANA	"HKD 10,500"	"HKD 21,000"	50% off
COACH	"HKD 6,002"	"HKD 12,250"	51% off
NINA RICCI	"HKD 4,057"	"HKD 9,660"	58% off
MM6 MAISON MARGIELA	"HKD 2,277"	"HKD 5,555"	59% off
THEORY	"HKD 2,090"	"HKD 4,355"	52% off
EMILIO PUCCI	"HKD 5,148"	"HKD 13,915"	63% off
ADAM LIPPES	"HKD 5,972"	"HKD 17,065"	65% off
SEA	"HKD 2,610"	"HKD 6,215"	58% off
BURBERRY	"HKD 7,812"	"HKD 19,532"	60% off
STELLA MCCARTNEY	"HKD 3,721"	"HKD 8,270"	55% off
MAISON MARGIELA	"HKD 7,122"	"HKD 17,805"	60% off
BOTTEGA VENETA	"HKD 9,412"	"HKD 18,825"	50% off
SEE BY CHLOÉ	"HKD 2,295"	"HKD 5,100"	55% off
MARNI	"HKD 4,870"	"HKD 12,816"	62% off
ANTONIO BERARDI	"HKD 4,149"	"HKD 12,205"	66% off
STELLA MCCARTNEY	"HKD 5,163"	"HKD 13,955"	63% off
IRO	"HKD 3,830"	"HKD 5,473"	30% off
STELLA MCCARTNEY	"HKD 4,626"	"HKD 10,280"	55% off
AMANDA WAKELEY	"HKD 6,286"	"HKD 15,715"	60% off
AMANDA WAKELEY	"HKD 2,968"	"HKD 7,420"	60% off
YVES SALOMON	"HKD 4,850"	"HKD 9,700"	50% off
YVES SALOMON	"HKD 4,850"	"HKD 9,700"	50% off
YVES SALOMON	"HKD 4,850"	"HKD 9,700"	50% off
BELSTAFF	"HKD 3,019"	"HKD 6,565"	54% off
AMANDA WAKELEY	"HKD 2,968"	"HKD 7,420"	60% off
ROBERT RODRIGUEZ	"HKD 2,188"	"HKD 5,470"	60% off
CHALAYAN	"HKD 3,532"	"HKD 8,830"	60% off
MARNI	"HKD 14,788"	"HKD 49,292"	70% off
MICHAEL KORS COLLECTION	"HKD 7,149"	"HKD 23,830"	70% off
ISABEL MARANT	"HKD 3,321"	"HKD 7,380"	55% off
MSGM	"HKD 2,924"	"HKD 6,358"	54% off
JIL SANDER	"HKD 6,119"	"HKD 15,690"	61% off
MARNI	"HKD 7,132"	"HKD 17,830"	60% off
HELMUT LANG	"HKD 6,474"	"HKD 14,388"	55% off
BELSTAFF	"HKD 4,594"	"HKD 10,940"	58% off
BELSTAFF	"HKD 2,888"	"HKD 6,565"	56% off
NINA RICCI	"HKD 4,162"	"HKD 9,910"	58% off
AGNONA	"HKD 5,860"	"HKD 16,746"	65% off
BELSTAFF	"HKD 3,492"	"HKD 8,315"	58% off
RICK OWENS	"HKD 4,708"	"HKD 10,945"	57% off
GOAT	"HKD 2,487"	"HKD 4,975"	50% off
GOAT	"HKD 2,487"	"HKD 4,975"	50% off
REDVALENTINO	"HKD 2,860"	"HKD 5,721"	50% off
MARNI	"HKD 2,998"	"HKD 7,502"	60% off
RICK OWENS	"HKD 4,105"	"HKD 9,124"	55% off
BELSTAFF	"HKD 2,712"	"HKD 6,780"	60% off
3.1 PHILLIP LIM	"HKD 3,198"	"HKD 8,000"	60% off
REDVALENTINO	"HKD 1,522"	"HKD 3,045"	50% off
SANDRO PARIS	"HKD 8,955"	"HKD 14,925"	40% off
TEMPERLEY LONDON	"HKD 3,710"	"HKD 7,423"	50% off
CEDRIC CHARLIER	"HKD 1,990"	"HKD 4,975"	60% off
SAFIYAA	"HKD 3,178"	"HKD 9,080"	65% off
MARQUES ' ALMEIDA	"HKD 1,812"	"HKD 3,940"	54% off
STELLA JEAN	"HKD 2,725"	"HKD 7,365"	63% off
RAG & BONE	"HKD 1,950"	"HKD 3,900"	50% off
MM6 BY MAISON MARGIELA	"HKD 2,006"	"HKD 4,560"	56% off
MARNI	"HKD 2,098"	"HKD 5,681"	63% off
MAISON MARGIELA	"HKD 5,906"	"HKD 16,875"	65% off
IRO	"HKD 3,680"	"HKD 9,204"	60% off
REDVALENTINO	"HKD 1,952"	"HKD 3,905"	50% off
YVES SALOMON	"HKD 14,810"	"HKD 32,915"	55% off
YVES SALOMON	"HKD 13,910"	"HKD 34,775"	60% off
MARNI	"HKD 6,054"	"HKD 12,109"	50% off
IRO	"HKD 2,749"	"HKD 7,050"	61% off
JIL SANDER	"HKD 4,898"	"HKD 13,995"	65% off
BRUNELLO CUCINELLI	"HKD 16,160"	"HKD 53,869"	70% off
YVES SALOMON	"HKD 6,344"	"HKD 12,686"	50% off
ROCHAS	"HKD 3,753"	"HKD 8,340"	55% off
M MISSONI	"HKD 3,234"	"HKD 8,085"	60% off
ROCHAS	"HKD 4,380"	"HKD 9,125"	52% off
ROCHAS	"HKD 4,225"	"HKD 9,390"	55% off
CHLOÉ	"HKD 8,164"	"HKD 16,328"	50% off
MARC BY MARC JACOBS	"HKD 1,468"	"HKD 4,080"	64% off
MOTHER OF PEARL	"HKD 3,407"	"HKD 6,955"	51% off
3.1 PHILLIP LIM	"HKD 3,384"	"HKD 8,460"	60% off
YVES SALOMON	"HKD 10,528"	"HKD 21,054"	50% off
IRO	"HKD 1,895"	"HKD 4,308"	56% off
MICHAEL KORS COLLECTION	"HKD 7,680"	"HKD 15,363"	50% off
M MISSONI	"HKD 2,507"	"HKD 5,015"	50% off
JIL SANDER	"HKD 8,483"	"HKD 24,950"	66% off
GABRIELA HEARST	"HKD 7,710"	"HKD 15,423"	50% off
JIL SANDER	"HKD 7,696"	"HKD 21,990"	65% off
ALEXANDER WANG	"HKD 2,836"	"HKD 7,090"	60% off
HAIDER ACKERMANN	"HKD 5,498"	"HKD 15,711"	65% off
M MISSONI	"HKD 2,517"	"HKD 5,595"	55% off
EMILIA WICKSTEAD	"HKD 6,587"	"HKD 14,015"	53% off
MIU MIU	"HKD 11,305"	"HKD 25,124"	55% off
J.W.ANDERSON	"HKD 7,029"	"HKD 15,622"	55% off
ALESSANDRA RICH	"HKD 4,984"	"HKD 11,074"	55% off
VIONNET	"HKD 9,818"	"HKD 24,547"	60% off
STELLA MCCARTNEY	"HKD 5,269"	"HKD 13,174"	60% off
JIL SANDER	"HKD 5,259"	"HKD 15,470"	66% off
VALENTINO	"HKD 9,248"	"HKD 22,557"	59% off
GIAMBATTISTA VALLI	"HKD 10,848"	"HKD 30,994"	65% off
VALENTINO	"HKD 7,524"	"HKD 13,681"	45% off
VALENTINO	"HKD 10,309"	"HKD 24,547"	58% off
ADAM LIPPES	"HKD 16,864"	"HKD 49,601"	66% off
THEORY	"HKD 1,959"	"HKD 4,355"	55% off
DELPOZO	"HKD 9,368"	"HKD 18,736"	50% off
DOLCE & GABBANA	"HKD 14,542"	"HKD 41,551"	65% off
LANVIN	"HKD 9,082"	"HKD 25,950"	65% off
YVES SALOMON	"HKD 9,619"	"HKD 24,049"	60% off
AGNONA	"HKD 8,980"	"HKD 25,661"	65% off
CHLOÉ	"HKD 11,458"	"HKD 22,915"	50% off
SONIA RYKIEL	"HKD 4,590"	"HKD 10,200"	55% off
RICK OWENS	"HKD 8,538"	"HKD 21,343"	60% off
MIU MIU	"HKD 8,458"	"HKD 16,915"	50% off
VIONNET	"HKD 12,904"	"HKD 32,258"	60% off
MARNI	"HKD 7,132"	"HKD 17,830"	60% off
ELLERY	"HKD 8,009"	"HKD 22,885"	65% off
TART COLLECTIONS	"HKD 2,855"	"HKD 6,345"	55% off
MICHAEL KORS	"HKD 7,602"	"HKD 21,721"	65% off
ADAM LIPPES	"HKD 6,008"	"HKD 15,015"	60% off
AGNONA	"HKD 10,332"	"HKD 29,522"	65% off
GIVENCHY	"HKD 14,045"	"HKD 35,114"	60% off
IRO	"HKD 7,050"	"HKD 18,079"	61% off
CHLOÉ	"HKD 10,459"	"HKD 26,149"	60% off
VIONNET	"HKD 9,592"	"HKD 22,308"	57% off
DELPOZO	"HKD 6,738"	"HKD 13,472"	50% off
THE ROW	"HKD 14,979"	"HKD 29,959"	50% off
AGNONA	"HKD 12,415"	"HKD 35,472"	65% off
AGNONA	"HKD 11,518"	"HKD 38,387"	70% off
DOLCE & GABBANA	"HKD 8,912"	"HKD 17,825"	50% off
MARNI	"HKD 2,625"	"HKD 7,502"	65% off
JIL SANDER	"HKD 7,629"	"HKD 19,074"	60% off
AGNONA	"HKD 10,099"	"HKD 28,855"	65% off
JIL SANDER	"HKD 7,514"	"HKD 18,786"	60% off
JASON WU	"HKD 7,018"	"HKD 17,542"	60% off
VIONNET	"HKD 9,592"	"HKD 22,308"	57% off
AGNONA	"HKD 9,564"	"HKD 27,323"	65% off
JIL SANDER	"HKD 8,608"	"HKD 26,079"	67% off
BOTTEGA VENETA	"HKD 6,880"	"HKD 13,761"	50% off
JIL SANDER	"HKD 8,509"	"HKD 21,273"	60% off
AMANDA WAKELEY	"HKD 3,225"	"HKD 7,502"	57% off
JOSEPH	"HKD 5,950"	"HKD 14,875"	60% off
DROME	"HKD 5,400"	"HKD 15,005"	64% off
CALVIN KLEIN COLLECTION	"HKD 8,114"	"HKD 21,930"	63% off
NINA RICCI	"HKD 5,138"	"HKD 14,676"	65% off
JIL SANDER	"HKD 7,928"	"HKD 19,820"	60% off
KARL DONOGHUE	"HKD 9,453"		
JIL SANDER	"HKD 7,530"	"HKD 18,825"	60% off
3.1 PHILLIP LIM	"HKD 4,145"	"HKD 8,290"	50% off
GOEN.J	"HKD 4,920"	"HKD 10,935"	55% off
JOIE	"HKD 8,602"	"HKD 17,204"	50% off
AGNONA	"HKD 8,284"	"HKD 18,408"	55% off
KAUFMANFRANCO	"HKD 6,628"	"HKD 16,567"	60% off
VIONNET	"HKD 6,974"	"HKD 17,880"	61% off
JIL SANDER	"HKD 6,650"	"HKD 16,626"	60% off
SUNO	"HKD 3,412"	"HKD 9,751"	65% off
J.W.ANDERSON	"HKD 4,410"	"HKD 11,025"	60% off
AGNONA	"HKD 6,340"	"HKD 18,119"	65% off
ROKSANDA	"HKD 6,352"	"HKD 15,880"	60% off
JIL SANDER	"HKD 5,930"	"HKD 14,826"	60% off
BOUTIQUE MOSCHINO	"HKD 5,659"	"HKD 16,169"	65% off
MAJE	"HKD 5,660"	"HKD 11,323"	50% off
MCQ ALEXANDER MCQUEEN	"HKD 2,820"	"HKD 5,642"	50% off
EMILIO PUCCI	"HKD 4,793"	"HKD 13,695"	65% off
BELSTAFF	"HKD 4,330"	"HKD 10,826"	60% off
CALVIN KLEIN COLLECTION	"HKD 5,054"	"HKD 12,637"	60% off
MISSONI	"HKD 3,904"	"HKD 13,015"	70% off
JIL SANDER	"HKD 5,305"	"HKD 13,263"	60% off
ETRO	"HKD 5,718"	"HKD 19,054"	70% off
BELSTAFF	"HKD 4,959"	"HKD 12,398"	60% off
JIL SANDER	"HKD 5,190"	"HKD 12,975"	60% off
AGNONA	"HKD 4,648"	"HKD 10,328"	55% off
BELSTAFF	"HKD 4,398"	"HKD 9,781"	55% off
DKNY	"HKD 2,528"	"HKD 5,055"	50% off
BELSTAFF	"HKD 4,330"	"HKD 10,826"	60% off
JOSEPH	"HKD 4,758"	"HKD 9,910"	52% off
JIL SANDER	"HKD 2,835"	"HKD 9,453"	70% off
BELSTAFF	"HKD 4,478"	"HKD 11,194"	60% off
GOEN.J	"HKD 4,148"	"HKD 10,119"	59% off
ROCHAS	"HKD 10,094"	"HKD 20,189"	50% off
RAG & BONE	"HKD 2,985"	"HKD 5,970"	50% off
BELSTAFF	"HKD 4,294"	"HKD 10,736"	60% off
JIL SANDER	"HKD 4,330"	"HKD 10,826"	60% off
J.W.ANDERSON	"HKD 4,012"	"HKD 10,030"	60% off
MIU MIU	"HKD 8,680"	"HKD 17,363"	50% off
STELLA JEAN	"HKD 3,269"	"HKD 8,836"	63% off
SHRIMPS	"HKD 2,698"	"HKD 5,393"	50% off
JOSEPH	"HKD 3,448"	"HKD 6,895"	50% off
CARVEN	"HKD 2,277"	"HKD 5,060"	55% off
TEMPERLEY LONDON	"HKD 3,710"	"HKD 7,423"	50% off
BELSTAFF	"HKD 3,798"	"HKD 9,741"	61% off
BELSTAFF	"HKD 3,712"	"HKD 8,249"	55% off
ZIMMERMANN	"HKD 3,270"	"HKD 8,179"	60% off
HELMUT LANG	"HKD 4,140"	"HKD 9,204"	55% off
BELSTAFF	"HKD 3,618"	"HKD 9,781"	63% off
VINCE.	"HKD 3,214"	"HKD 6,428"	50% off
M MISSONI	"HKD 1,762"	"HKD 3,525"	50% off
ROCHAS	"HKD 7,068"	"HKD 14,726"	52% off
MSGM	"HKD 2,380"	"HKD 5,410"	56% off
BELSTAFF	"HKD 3,270"	"HKD 9,084"	64% off
BELSTAFF	"HKD 3,270"	"HKD 9,084"	64% off
IRO	"HKD 2,005"	"HKD 4,557"	56% off
STELLA JEAN	"HKD 2,638"	"HKD 6,597"	60% off
VIVIENNE WESTWOOD ANGLOMANIA	"HKD 2,570"	"HKD 6,428"	60% off
IRO	"HKD 2,869"	"HKD 8,199"	65% off
LOVE MOSCHINO	"HKD 1,955"	"HKD 3,910"	50% off
	"HKD 2,838"	"HKD 7,671"	63% off
TEMPERLEY LONDON	"HKD 4,838"	"HKD 12,728"	62% off
JOSEPH	"HKD 3,955"	"HKD 7,910"	50% off
MSGM	"HKD 2,036"	"HKD 4,735"	57% off
IRO	"HKD 2,408"	"HKD 5,473"	56% off
RTA	"HKD 2,462"	"HKD 5,473"	55% off
RAG & BONE	"HKD 2,820"	"HKD 5,642"	50% off
MSGM	"HKD 2,314"	"HKD 5,144"	55% off
SANDRO PARIS	"HKD 2,514"	"HKD 4,189"	40% off
HELMUT LANG	"HKD 2,650"	"HKD 5,761"	54% off
J.W.ANDERSON	"HKD 3,980"	"HKD 9,950"	60% off
CARVEN	"HKD 2,492"	"HKD 4,985"	50% off
CARVEN	"HKD 2,384"	"HKD 4,497"	47% off
SANDRO	"HKD 2,317"	"HKD 4,635"	50% off
LOVE MOSCHINO	"HKD 1,865"	"HKD 3,731"	50% off
OPENING CEREMONY	"HKD 2,492"	"HKD 5,303"	53% off
MAJE	"HKD 2,632"	"HKD 4,388"	40% off
JUST CAVALLI	"HKD 2,288"	"HKD 5,721"	60% off
JUST CAVALLI	"HKD 2,439"	"HKD 6,099"	60% off
SANDRO PARIS	"HKD 2,238"	"HKD 3,731"	40% off
T BY ALEXANDER WANG	"HKD 3,254"	"HKD 5,423"	40% off
LINE	"HKD 2,094"	"HKD 4,189"	50% off
MAJE	"HKD 2,219"	"HKD 4,438"	50% off
SANDRO PARIS	"HKD 1,988"	"HKD 3,313"	40% off
HELMUT LANG	"HKD 2,408"	"HKD 5,015"	52% off
LINE	"HKD 2,050"	"HKD 4,557"	55% off
KARL DONOGHUE	"HKD 2,108"	"HKD 3,831"	45% off
MM6 MAISON MARGIELA	"HKD 2,179"	"HKD 5,890"	63% off
ISABEL MARANT	"HKD 1,778"	"HKD 5,920"	70% off
MARC BY MARC JACOBS	"HKD 1,918"	"HKD 5,323"	64% off
CARVEN	"HKD 2,244"	"HKD 4,985"	55% off
BELSTAFF	"HKD 2,072"	"HKD 4,935"	58% off
MARC JACOBS	"HKD 4,050"	"HKD 7,790"	48% off
RAG & BONE	"HKD 2,529"	"HKD 5,058"	50% off
TART COLLECTIONS	"HKD 1,589"	"HKD 3,532"	55% off
DUVETICA	"HKD 1,774"	"HKD 3,284"	46% off
THEORY	"HKD 2,448"	"HKD 5,099"	52% off
LINE	"HKD 1,388"	"HKD 2,776"	50% off
MM6 MAISON MARGIELA	"HKD 1,602"	"HKD 4,109"	61% off
M.I.H JEANS	"HKD 1,782"	"HKD 4,146"	57% off
CEFINN	"HKD 1,578"	"HKD 3,940"	60% off
J.CREW	"HKD 1,629"	"HKD 5,433"	70% off
AINEA	"HKD 1,618"	"HKD 3,443"	53% off
MM6 BY MAISON MARGIELA	"HKD 1,529"	"HKD 3,731"	59% off
M.I.H JEANS	"HKD 2,074"	"HKD 4,146"	50% off
AINEA	"HKD 1,519"	"HKD 3,234"	53% off
DUVETICA	"HKD 1,488"	"HKD 3,234"	54% off
THEORY	"HKD 1,488"	"HKD 3,234"	54% off
MICHAEL MICHAEL KORS	"HKD 1,438"	"HKD 2,935"	51% off
MM6 BY MAISON MARGIELA	"HKD 1,418"	"HKD 3,731"	62% off
LOVE MOSCHINO	"HKD 1,782"	"HKD 3,565"	50% off
MAJE	"HKD 1,848"	"HKD 4,104"	55% off
DUVETICA	"HKD 1,478"	"HKD 2,736"	46% off
W118 BY WALTER BAKER	"HKD 1,379"	"HKD 3,065"	55% off
DUVETICA	"HKD 1,368"	"HKD 2,736"	50% off
VINCE.	"HKD 1,735"	"HKD 3,773"	54% off
MM6 MAISON MARGIELA	"HKD 1,640"	"HKD 4,104"	60% off
MARC BY MARC JACOBS	"HKD 1,628"	"HKD 4,934"	67% off
AINEA	"HKD 1,558"	"HKD 3,317"	53% off
MAJE	"HKD 1,188"	"HKD 1,980"	40% off
W118 BY WALTER BAKER	"HKD 1,354"	"HKD 2,944"	54% off
LOVE MOSCHINO	"HKD 1,025"	"HKD 2,279"	55% off
REDVALENTINO	"HKD 2,402"	"HKD 5,721"	58% off
W118 BY WALTER BAKER	"HKD 1,098"	"HKD 2,197"	50% off
MICHAEL MICHAEL KORS	HKD 974	"HKD 1,949"	50% off
TOTÊME	"HKD 1,400"	"HKD 2,800"	50% off
ISABEL MARANT ÉTOILE	"HKD 1,443"	"HKD 2,405"	40% off
SANDRO PARIS	"HKD 1,988"	"HKD 3,313"	40% off
"VICTORIA, VICTORIA BECKHAM"	"HKD 3,420"	"HKD 6,840"	50% off
MM6 MAISON MARGIELA	"HKD 2,515"	"HKD 6,135"	59% off
SAKS POTTS	"HKD 3,235"	"HKD 8,089"	60% off
LOVE MOSCHINO	"HKD 1,668"	"HKD 3,403"	51% off
ISABEL MARANT	"HKD 1,698"	"HKD 5,672"	70% off
IRO	 Free		
