University_name,Ranking,Country,Source
Seoul National University,"#128
Tie",South Korea,USNEWS
Universidade de São Paulo,"#128
Tie",Brazil,USNEWS
University of Basel,"#128
Tie",Switzerland,USNEWS
University of Science and Technology of China,"#128
Tie",China,USNEWS
Baylor College of Medicine,"#132
Tie",United States,USNEWS
University of Sheffield,"#132
Tie",United Kingdom,USNEWS
Texas A&M University--College Station,"#134
Tie",United States,USNEWS
University of Auckland,"#134
Tie",New Zealand,USNEWS
Indiana University--Bloomington,"#136
Tie",United States,USNEWS
Shanghai Jiao Tong University,"#136
Tie",China,USNEWS
University of Massachusetts--Amherst,"#136
Tie",United States,USNEWS
Universite de Lyon (ComUE),"#139
Tie",France,USNEWS
University Catholique of Louvain,"#139
Tie",Belgium,USNEWS
University of Alberta,"#139
Tie",Canada,USNEWS
University of Montreal,"#139
Tie",Canada,USNEWS
University of Utah,"#139
Tie",United States,USNEWS
Communaute Universite Grenoble Alpes,#144,France,USNEWS
University of Hamburg,#145,Germany,USNEWS
Arizona State University--Tempe,"#146
Tie",United States,USNEWS
University of Texas Southwestern Medical Center--Dallas,"#146
Tie",United States,USNEWS
Technical University of Denmark,#148,Denmark,USNEWS
University of California--Riverside,"#149
Tie",United States,USNEWS
University of Liverpool,"#149
Tie",United Kingdom,USNEWS
University of Gothenburg,#151,Sweden,USNEWS
King Abdullah University of Science & Technology,"#152
Tie",Saudi Arabia,USNEWS
Oregon Health & Science University,"#152
Tie",United States,USNEWS
University of Nottingham,"#152
Tie",United Kingdom,USNEWS
Case Western Reserve University,"#155
Tie",United States,USNEWS
University of Milan,"#155
Tie",Italy,USNEWS
Zhejiang University,#157,China,USNEWS
University of Freiburg,"#158
Tie",Germany,USNEWS
University of Leeds,"#158
Tie",United Kingdom,USNEWS
University of Göttingen,#160,Germany,USNEWS
Autonomous University of Barcelona,"#161
Tie",Spain,USNEWS
University of Exeter,"#161
Tie",United Kingdom,USNEWS
University of Iowa,"#161
Tie",United States,USNEWS
International School for Advanced Studies,"#164
Tie",Italy,USNEWS
University of Aix-Marseille,"#164
Tie",France,USNEWS
University of Bergen,"#164
Tie",Norway,USNEWS
University of Sussex,"#164
Tie",United Kingdom,USNEWS
Cardiff University,"#168
Tie",United Kingdom,USNEWS
"Eberhard Karls University, Tübingen","#168
Tie",Germany,USNEWS
Nanjing University,"#168
Tie",China,USNEWS
Fudan University,"#171
Tie",China,USNEWS
Stony Brook University--SUNY,"#171
Tie",United States,USNEWS
City University Hong Kong,"#173
Tie",Hong Kong,USNEWS
Delft University of Technology,"#173
Tie",Netherlands,USNEWS
Pompeu Fabra University,"#175
Tie",Spain,USNEWS
Universite Federale Toulouse Midi-Pyrenees (ComUE),"#175
Tie",France,USNEWS
University of Alabama--Birmingham,"#175
Tie",United States,USNEWS
University of Calgary,#178,Canada,USNEWS
RWTH Aachen University,#179,Germany,USNEWS
Newcastle University,#180,United Kingdom,USNEWS
Karlsruhe Institute of Technology,#181,Germany,USNEWS
Technical University of Dresden,#182,Germany,USNEWS
Autonomous University of Madrid,"#183
Tie",Spain,USNEWS
Tel Aviv University,"#183
Tie",Israel,USNEWS
University of Lausanne,"#183
Tie",Switzerland,USNEWS
Aalto University,"#186
Tie",Finland,USNEWS
Boğaziçi University,"#186
Tie",Turkey,USNEWS
National Taiwan University,"#186
Tie",Taiwan,USNEWS
University of Pisa,"#186
Tie",Italy,USNEWS
Curtin University of Technology,"#190
Tie",Australia,USNEWS
Florida State University,"#190
Tie",United States,USNEWS
Languedoc-Roussillon Universites (ComUE),"#190
Tie",France,USNEWS
Tufts University,"#190
Tie",United States,USNEWS
Université Libre de Bruxelles,"#190
Tie",Belgium,USNEWS
Sungkyunkwan University,#195,South Korea,USNEWS
Maastricht University,"#196
Tie",Netherlands,USNEWS
University of Cincinnati,"#196
Tie",United States,USNEWS
University of Ottawa,"#198
Tie",Canada,USNEWS
University of Technology Sydney,"#198
Tie",Australia,USNEWS
Hong Kong Polytechnic University,"#200
Tie",Hong Kong,USNEWS
Northeastern University,"#200
Tie",United States,USNEWS
University of Vienna,"#200
Tie",Austria,USNEWS
University of Witwatersrand,"#200
Tie",South Africa,USNEWS
Scuola Normale Superiore di Pisa,"#204
Tie",Italy,USNEWS
University of Naples Federico II,"#204
Tie",Italy,USNEWS
University of Würzburg,"#204
Tie",Germany,USNEWS
Royal Institute of Technology,#207,Sweden,USNEWS
Johannes Gutenberg University of Mainz,"#208
Tie",Germany,USNEWS
Sun Yat-sen University,"#208
Tie",China,USNEWS
Charles University in Prague,"#210
Tie",Czech Republic,USNEWS
Durham University,"#210
Tie",United Kingdom,USNEWS
Lancaster University,"#210
Tie",United Kingdom,USNEWS
Johann Wolfgang Goethe University Frankfurt am Main,#213,Germany,USNEWS
Dartmouth College,"#214
Tie",United States,USNEWS
University of Antwerp,"#214
Tie",Belgium,USNEWS
University of Lisbon,"#214
Tie",Portugal,USNEWS
University of Illinois--Chicago,"#217
Tie",United States,USNEWS
University of Tennessee,"#217
Tie",United States,USNEWS
University of Waterloo,"#217
Tie",Canada,USNEWS
Iowa State University,"#220
Tie",United States,USNEWS
University of Oregon,"#220
Tie",United States,USNEWS
Hebrew University of Jerusalem,#222,Israel,USNEWS
University of Notre Dame,#223,United States,USNEWS
Queensland University of Technology,"#224
Tie",Australia,USNEWS
University of Rome Tor Vergata,"#224
Tie",Italy,USNEWS
University of Strasbourg,#226,France,USNEWS
Macquarie University,"#227
Tie",Australia,USNEWS
University College Dublin,"#227
Tie",Ireland,USNEWS
University of Aberdeen,"#227
Tie",United Kingdom,USNEWS
University of Florence,"#227
Tie",Italy,USNEWS
University of Turin,"#227
Tie",Italy,USNEWS
Medical University of Vienna,"#232
Tie",Austria,USNEWS
North Carolina State University--Raleigh,"#232
Tie",United States,USNEWS
University of Malaya,"#232
Tie",Malaysia,USNEWS
University of Leicester,"#235
Tie",United Kingdom,USNEWS
University of Miami,"#235
Tie",United States,USNEWS
University of Otago,"#237
Tie",New Zealand,USNEWS
University of Trento,"#237
Tie",Italy,USNEWS
University of Valencia,"#237
Tie",Spain,USNEWS
Trinity College Dublin,"#240
Tie",Ireland,USNEWS
University of Erlangen Nuremberg,"#240
Tie",Germany,USNEWS
Griffith University,"#242
Tie",Australia,USNEWS
Osaka University,"#242
Tie",Japan,USNEWS
Aalborg University,#244,Denmark,USNEWS
Huazhong University of Science and Technology,"#245
Tie",China,USNEWS
University of Cologne,"#245
Tie",Germany,USNEWS
Deakin University,"#247
Tie",Australia,USNEWS
University of Wollongong,"#247
Tie",Australia,USNEWS
Harbin Institute of Technology,#249,China,USNEWS
Brandeis University,"#250
Tie",United States,USNEWS
University of Pavia,"#250
Tie",Italy,USNEWS
Korea Advanced Institute of Science and Technology,#252,South Korea,USNEWS
University of New Mexico,"#253
Tie",United States,USNEWS
Virginia Tech,"#253
Tie",United States,USNEWS
George Washington University,"#255
Tie",United States,USNEWS
Tohoku University,"#255
Tie",Japan,USNEWS
University of Maryland--Baltimore,#257,United States,USNEWS
Technion Israel Institute of Technology,#258,Israel,USNEWS
Free University of Brussels,"#259
Tie",Belgium,USNEWS
London School of Economics and Political Science,"#259
Tie",United Kingdom,USNEWS
University of York,"#259
Tie",United Kingdom,USNEWS
National and Kapodistrian University of Athens,"#262
Tie",Greece,USNEWS
University of Kiel,"#262
Tie",Germany,USNEWS
University of Victoria,"#262
Tie",Canada,USNEWS
Yeshiva University,"#262
Tie",United States,USNEWS
Colorado State University,"#266
Tie",United States,USNEWS
M. V. Lomonosov Moscow State University,"#266
Tie",Russia,USNEWS
Oregon State University,"#266
Tie",United States,USNEWS
University at Buffalo--SUNY,"#266
Tie",United States,USNEWS
University of St. Andrews,"#266
Tie",United Kingdom,USNEWS
James Cook University,"#271
Tie",Australia,USNEWS
Korea University,"#271
Tie",South Korea,USNEWS
University of Texas--Dallas,#273,United States,USNEWS
Universite Paris Saclay,"#274
Tie",France,USNEWS
University of Newcastle,"#274
Tie",Australia,USNEWS
University of Milan - Bicocca,"#276
Tie",Italy,USNEWS
University of Münster,"#276
Tie",Germany,USNEWS
