University_name,Ranking,Country,Source
Tokyo Metropolitan University,"#522
Tie",Japan,USNEWS
University of Ferrara,"#522
Tie",Italy,USNEWS
University of Seville,"#522
Tie",Spain,USNEWS
University of Massachusetts--Boston,"#528
Tie",United States,USNEWS
University of Verona,"#528
Tie",Italy,USNEWS
Indian Institute of Science,"#530
Tie",India,USNEWS
Panjab University,"#530
Tie",India,USNEWS
Hacettepe University,"#532
Tie",Turkey,USNEWS
Universidade Federal do ABC (UFABC),"#532
Tie",Brazil,USNEWS
University of Bremen,"#532
Tie",Germany,USNEWS
University of New Hampshire,"#532
Tie",United States,USNEWS
Aveiro University,"#536
Tie",Portugal,USNEWS
Boston College,"#536
Tie",United States,USNEWS
Wuhan University of Technology,"#536
Tie",China,USNEWS
Saint Petersburg State University,"#539
Tie",Russia,USNEWS
University of Hannover,"#539
Tie",Germany,USNEWS
American University of Beirut,"#541
Tie",Lebanon,USNEWS
Kobe University,"#541
Tie",Japan,USNEWS
University of Saskatchewan,"#541
Tie",Canada,USNEWS
University of Louisville,#544,United States,USNEWS
Aga Khan University,"#545
Tie",Pakistan,USNEWS
University of Puerto Rico--Mayaguez,"#545
Tie",United States,USNEWS
Izmir Yuksek Teknoloji Enstitusu,"#547
Tie",Turkey,USNEWS
Medical College of Wisconsin,"#547
Tie",United States,USNEWS
Montana State University--Bozeman,"#547
Tie",United States,USNEWS
Saarland University,"#547
Tie",Germany,USNEWS
Universidad de Cantabria,"#547
Tie",Spain,USNEWS
University of Parma,"#547
Tie",Italy,USNEWS
University of Zaragoza,"#547
Tie",Spain,USNEWS
Ben-Gurion University of the Negev,"#553
Tie",Israel,USNEWS
Kyung Hee University,"#553
Tie",South Korea,USNEWS
Universite Bourgogne Franche-Comte (ComUE),"#553
Tie",France,USNEWS
University of Science & Technology Beijing,#556,China,USNEWS
Kyungpook National University,"#557
Tie",South Korea,USNEWS
Loughborough University,"#557
Tie",United Kingdom,USNEWS
NUI Galway,"#557
Tie",Ireland,USNEWS
University of Casablanca Hassan 2,"#557
Tie",Morocco,USNEWS
University of Modena and Reggio Emilia,"#557
Tie",Italy,USNEWS
University of Portsmouth,"#557
Tie",United Kingdom,USNEWS
Comenius University in Bratislava,"#563
Tie",Slovakia,USNEWS
Heriot Watt University,"#563
Tie",United Kingdom,USNEWS
Shanghai University,"#563
Tie",China,USNEWS
University of Crete,"#563
Tie",Greece,USNEWS
Babes-Bolyai University,"#567
Tie",Romania,USNEWS
Chongqing University,"#567
Tie",China,USNEWS
University of Bodenkultur Wien,"#567
Tie",Austria,USNEWS
University of Ioannina,"#567
Tie",Greece,USNEWS
Bilkent University,"#571
Tie",Turkey,USNEWS
Lanzhou University,"#571
Tie",China,USNEWS
University of Palermo,#573,Italy,USNEWS
National Research University - Higher School of Economics,#574,Russia,USNEWS
University of Macau,"#575
Tie",Macau,USNEWS
University of Zagreb,"#575
Tie",Croatia,USNEWS
Masaryk University,"#577
Tie",Czech Republic,USNEWS
Okayama University,"#577
Tie",Japan,USNEWS
Universite de Bordeaux,"#577
Tie",France,USNEWS
University of Graz,"#577
Tie",Austria,USNEWS
Federal University of Santa Catarina,"#581
Tie",Brazil,USNEWS
Federal University of São Paulo,"#581
Tie",Brazil,USNEWS
Université du Québec à Montréal,"#581
Tie",Canada,USNEWS
Nanjing University of Information Science & Technology,"#584
Tie",China,USNEWS
Polytechnic University of Madrid,"#584
Tie",Spain,USNEWS
Universitat de les Illes Balears,"#584
Tie",Spain,USNEWS
Universiti Sains Malaysia,"#584
Tie",Malaysia,USNEWS
University of Kent,"#584
Tie",United Kingdom,USNEWS
Hong Kong Baptist University,"#589
Tie",Hong Kong,USNEWS
Northwestern Polytechnical University,"#589
Tie",China,USNEWS
Bocconi University,"#591
Tie",Italy,USNEWS
Hiroshima University,"#591
Tie",Japan,USNEWS
Sharif University of Technology,"#591
Tie",Iran,USNEWS
Vilnius University,"#591
Tie",Lithuania,USNEWS
East China University of Science and Technology,"#595
Tie",China,USNEWS
Isfahan University of Technology,"#595
Tie",Iran,USNEWS
National Central University,"#595
Tie",Taiwan,USNEWS
University of Seoul,"#595
Tie",South Korea,USNEWS
Beijing Jiaotong University,"#599
Tie",China,USNEWS
Beijing University of Chemical Technology,"#599
Tie",China,USNEWS
Edith Cowan University,"#599
Tie",Australia,USNEWS
Lappeenranta University of Technology,"#599
Tie",Finland,USNEWS
Rio de Janeiro State University,"#599
Tie",Brazil,USNEWS
San Diego State University,"#599
Tie",United States,USNEWS
China University of Petroleum,"#605
Tie",China,USNEWS
National Cheng Kung University,"#605
Tie",Taiwan,USNEWS
University of Texas Medical Branch--Galveston,"#605
Tie",United States,USNEWS
King Fahd University of Petroleum and Minerals (KFUPM),#608,Saudi Arabia,USNEWS
Kent State University,"#609
Tie",United States,USNEWS
West Virginia University,"#609
Tie",United States,USNEWS
Makerere University,"#611
Tie",Uganda,USNEWS
Martin Luther University of Halle-Wittenberg,"#611
Tie",Germany,USNEWS
Universiti Putra Malaysia,"#611
Tie",Malaysia,USNEWS
University of Essex,"#611
Tie",United Kingdom,USNEWS
Warsaw University of Technology,"#611
Tie",Poland,USNEWS
University of Missouri--Kansas City,"#616
Tie",United States,USNEWS
University of Ulsan,"#616
Tie",South Korea,USNEWS
Addis Ababa University,"#618
Tie",Ethiopia,USNEWS
Bar-Ilan University,"#618
Tie",Israel,USNEWS
National University La Plata,"#618
Tie",Argentina,USNEWS
University of Basilicata,"#618
Tie",Italy,USNEWS
University of Bayreuth,"#618
Tie",Germany,USNEWS
University of Luxembourg,"#618
Tie",Luxembourg,USNEWS
Ankara University,"#624
Tie",Turkey,USNEWS
Australian Catholic University,"#624
Tie",Australia,USNEWS
Copenhagen Business School,"#624
Tie",Denmark,USNEWS
Nanjing University of Science & Technology,"#624
Tie",China,USNEWS
Renmin University of China,"#624
Tie",China,USNEWS
University of Rostock,"#624
Tie",Germany,USNEWS
Chonnam National University,"#630
Tie",South Korea,USNEWS
Norwegian University of Life Sciences,"#630
Tie",Norway,USNEWS
University Hohenheim,"#630
Tie",Germany,USNEWS
University of Salento,"#630
Tie",Italy,USNEWS
Visva Bharati University,"#630
Tie",India,USNEWS
AGH University of Science & Technology,"#635
Tie",Poland,USNEWS
University of Debrecen,"#635
Tie",Hungary,USNEWS
Murdoch University,#637,Australia,USNEWS
Universiti Kebangsaan Malaysia (UKM),"#638
Tie",Malaysia,USNEWS
University of La Laguna,"#638
Tie",Spain,USNEWS
University of Lubeck,"#638
Tie",Germany,USNEWS
Pusan National University,"#641
Tie",South Korea,USNEWS
Rochester Institute of Technology,"#641
Tie",United States,USNEWS
University of Cagliari,"#641
Tie",Italy,USNEWS
University of North Texas,"#641
Tie",United States,USNEWS
Benemerita Universidad Autonoma de Puebla,"#645
Tie",Mexico,USNEWS
Centre-Val de Loire (ComUE),"#645
Tie",France,USNEWS
North West University - South Africa,"#645
Tie",South Africa,USNEWS
Pontificia Universidad Javeriana,"#645
Tie",Colombia,USNEWS
University of Canberra,"#645
Tie",Australia,USNEWS
University of Qatar,"#645
Tie",Qatar,USNEWS
Khalifa University of Science & Technology,"#651
Tie",United Arab Emirates,USNEWS
St. Louis University,"#651
Tie",United States,USNEWS
University of Salamanca,"#651
Tie",Spain,USNEWS
Indian Institute of Technology Delhi,"#654
Tie",India,USNEWS
Indian Institute of Technology Madras,"#654
Tie",India,USNEWS
Open University,"#654
Tie",United Kingdom,USNEWS
Memorial University of Newfoundland,"#657
Tie",Canada,USNEWS
Universitat de Girona,"#657
Tie",Spain,USNEWS
University of Sofia,"#657
Tie",Bulgaria,USNEWS
Graz University of Technology,"#660
Tie",Austria,USNEWS
University of Maryland--Baltimore County,"#660
Tie",United States,USNEWS
CUNY--City College,#662,United States,USNEWS
City University London,"#663
Tie",United Kingdom,USNEWS
Mansoura University,"#663
Tie",Egypt,USNEWS
Nanjing Agricultural University,"#663
Tie",China,USNEWS
University of Brescia,"#663
Tie",Italy,USNEWS
Ain Shams University,"#667
Tie",Egypt,USNEWS
University of California--Merced,"#667
Tie",United States,USNEWS
Clemson University,"#669
Tie",United States,USNEWS
Northumbria University,"#669
Tie",United Kingdom,USNEWS
Concordia University,"#671
Tie",Canada,USNEWS
Northern Illinois University,"#671
Tie",United States,USNEWS
Ohio University,"#671
Tie",United States,USNEWS
Universite Cote d'Azur (ComUE),"#671
Tie",France,USNEWS
University of Arkansas,"#671
Tie",United States,USNEWS
Tehran University of Medical Sciences,"#676
Tie",Iran,USNEWS
University of Alaska--Fairbanks,"#676
Tie",United States,USNEWS
Amirkabir University of Technology (AUT),"#678
Tie",Iran,USNEWS
Auburn University,"#678
Tie",United States,USNEWS
Babol Noshirvani University of Technology,"#678
Tie",Iran,USNEWS
Utah State University,"#678
Tie",United States,USNEWS
Illinois Institute of Technology,"#682
Tie",United States,USNEWS
Sejong University,"#682
Tie",South Korea,USNEWS
Semmelweis University,"#682
Tie",Hungary,USNEWS
Shenzhen University,"#685
Tie",China,USNEWS
Southern University of Science & Technology,"#685
Tie",China,USNEWS
University of Mannheim,"#685
Tie",Germany,USNEWS
Jordan University of Science & Technology,"#688
Tie",Jordan,USNEWS
Northern Arizona University,"#688
Tie",United States,USNEWS
Orebro University,"#688
Tie",Sweden,USNEWS
University of Szeged,"#688
Tie",Hungary,USNEWS
American University,"#692
Tie",United States,USNEWS
Braunschweig University of Technology,"#692
Tie",Germany,USNEWS
Brigham Young University--Provo,"#692
Tie",United States,USNEWS
Ewha Womans University,"#692
Tie",South Korea,USNEWS
University of Brighton,"#696
Tie",United Kingdom,USNEWS
University of Wyoming,"#696
Tie",United States,USNEWS
Fuzhou University,"#698
Tie",China,USNEWS
INSEAD Business School,"#698
Tie",France,USNEWS
Nanjing University of Aeronautics and Astronautics,"#698
Tie",China,USNEWS
Universita della Campania Vanvitelli,"#698
Tie",Italy,USNEWS
Aston University,"#702
Tie",United Kingdom,USNEWS
Chonbuk National University,"#702
Tie",South Korea,USNEWS
Huazhong Agricultural University,"#702
Tie",China,USNEWS
University of Urbino,"#702
Tie",Italy,USNEWS
Istanbul University,"#706
Tie",Turkey,USNEWS
Kwame Nkrumah University Science & Technology,"#706
Tie",Ghana,USNEWS
"Rutgers, The State University of New Jersey--Newark","#706
Tie",United States,USNEWS
Universidad Nacional de Colombia,"#706
Tie",Colombia,USNEWS
Charles Sturt University,"#710
Tie",Australia,USNEWS
Marche Polytechnic University,"#710
Tie",Italy,USNEWS
New Mexico State University,"#710
Tie",United States,USNEWS
University of Brasilia,"#710
Tie",Brazil,USNEWS
University of the Republic - Uruguay,"#710
Tie",Uruguay,USNEWS
Jiangnan University,"#715
Tie",China,USNEWS
Mohammed V University,"#715
Tie",Morocco,USNEWS
University of Camerino,"#715
Tie",Italy,USNEWS
University of Haifa,"#715
Tie",Israel,USNEWS
Montpellier SupAgro,"#719
Tie",France,USNEWS
National Chiao Tung University,"#719
Tie",Taiwan,USNEWS
Universite de Brest,"#719
Tie",France,USNEWS
Cranfield University,"#722
Tie",United Kingdom,USNEWS
Indian Institute of Technology Kharagpur,"#722
Tie",India,USNEWS
Shinshu University,"#722
Tie",Japan,USNEWS
University of Sherbrooke,"#722
Tie",Canada,USNEWS
University of the Western Cape,"#722
Tie",South Africa,USNEWS
University of Denver,"#727
Tie",United States,USNEWS
University of Waikato,"#727
Tie",New Zealand,USNEWS
Bangor University,"#729
Tie",United Kingdom,USNEWS
CentraleSupelec,"#729
Tie",France,USNEWS
University of New England,"#729
Tie",Australia,USNEWS
Liverpool School of Tropical Medicine,#732,United Kingdom,USNEWS
Aberystwyth University,"#733
Tie",United Kingdom,USNEWS
Brandenburg University of Technology Cottbus,"#733
Tie",Germany,USNEWS
University of Ibadan,"#733
Tie",Nigeria,USNEWS
University of Montana,#736,United States,USNEWS
Chiba University,#737,Japan,USNEWS
Universidad Carlos III de Madrid,#738,Spain,USNEWS
Indian Institute of Science Education & Research (IISER) - Pune,"#739
Tie",India,USNEWS
Loyola University Chicago,"#739
Tie",United States,USNEWS
Nanjing University of Technology,"#739
Tie",China,USNEWS
Tokyo Medical and Dental University,"#739
Tie",Japan,USNEWS
Carl von Ossietzky Universitat Oldenburg,"#743
Tie",Germany,USNEWS
China University of Mining,"#743
Tie",China,USNEWS
Michigan Technological University,"#745
Tie",United States,USNEWS
University of Nevada--Las Vegas,"#745
Tie",United States,USNEWS
Indian Institute of Technology (IIT) - Roorkee,"#747
Tie",India,USNEWS
Koc University - Turkey,"#747
Tie",Turkey,USNEWS
Lulea University of Technology,"#747
Tie",Sweden,USNEWS
Birkbeck University London,"#750
Tie",United Kingdom,USNEWS
University of Marrakech Cadi Ayyad,"#750
Tie",Morocco,USNEWS
Indian Institute of Technology Kanpur,"#752
Tie",India,USNEWS
ITMO University,"#752
Tie",Russia,USNEWS
Southwest Jiaotong University,"#752
Tie",China,USNEWS
Gwangju Institute of Science and Technology,"#755
Tie",South Korea,USNEWS
National Taiwan University of Science and Technology,"#755
Tie",Taiwan,USNEWS
Northeastern University - China,"#755
Tie",China,USNEWS
Scuola Superiore Sant'Anna,"#755
Tie",Italy,USNEWS
Augusta University,"#759
Tie",United States,USNEWS
California State University--Fullerton,"#759
Tie",United States,USNEWS
National Institute for Applied Sciences - Lyon,"#759
Tie",France,USNEWS
Old Dominion University,"#759
Tie",United States,USNEWS
Beijing University of Technology,"#763
Tie",China,USNEWS
Ernst Moritz Arndt Universitat Greifswald,"#763
Tie",Germany,USNEWS
Polytechnic University of Bucharest,"#763
Tie",Romania,USNEWS
University of Delhi,"#763
Tie",India,USNEWS
University of Nevada--Reno,"#763
Tie",United States,USNEWS
University of Patras,"#763
Tie",Greece,USNEWS
Indian Institute of Science Education & Research (IISER) - Kolkata,"#769
Tie",India,USNEWS
Normandie Universite,"#769
Tie",France,USNEWS
Otto von Guericke University,"#769
Tie",Germany,USNEWS
Universite Confederale Leonard de Vinci,"#769
Tie",France,USNEWS
University of Idaho,"#769
Tie",United States,USNEWS
Howard University,"#774
Tie",United States,USNEWS
Universidad Autonoma de San Luis Potosi,"#774
Tie",Mexico,USNEWS
University of Eastern Piedmont Amedeo Avogadro,"#774
Tie",Italy,USNEWS
University of Rhode Island,"#774
Tie",United States,USNEWS
Alexandria University,"#778
Tie",Egypt,USNEWS
Universitat Jaume I,"#778
Tie",Spain,USNEWS
heSam Universite,"#780
Tie",France,USNEWS
Johannes Kepler University of Linz,"#780
Tie",Austria,USNEWS
University of Vigo,"#780
Tie",Spain,USNEWS
Kazan Federal University,"#783
Tie",Russia,USNEWS
Universidade Federal de Juiz de Fora,"#783
Tie",Brazil,USNEWS
Universitat Ramon Llull,"#783
Tie",Spain,USNEWS
Aligarh Muslim University,"#786
Tie",India,USNEWS
Hefei University of Technology,"#786
Tie",China,USNEWS
Yildiz Teknik University,"#786
Tie",Turkey,USNEWS
Hasselt University,"#789
Tie",Belgium,USNEWS
Missouri University of Science & Technology,"#789
Tie",United States,USNEWS
University of Insubria,"#789
Tie",Italy,USNEWS
University of Messina,"#789
Tie",Italy,USNEWS
Yeungnam University,"#789
Tie",South Korea,USNEWS
Ocean University of China,"#794
Tie",China,USNEWS
Salzburg University,"#794
Tie",Austria,USNEWS
University of Concepción,"#794
Tie",Chile,USNEWS
Zhengzhou University,"#794
Tie",China,USNEWS
Xidian University,#798,China,USNEWS
Adam Mickiewicz University,"#799
Tie",Poland,USNEWS
Lehigh University,"#799
Tie",United States,USNEWS
University of Hull,"#799
Tie",United Kingdom,USNEWS
University of Texas--El Paso,"#799
Tie",United States,USNEWS
New Jersey Institute of Technology,"#803
Tie",United States,USNEWS
New York Medical College,"#803
Tie",United States,USNEWS
Royal College of Surgeons - Ireland,"#803
Tie",Ireland,USNEWS
United Arab Emirates University,"#803
Tie",United Arab Emirates,USNEWS
University of Murcia,"#803
Tie",Spain,USNEWS
Binghamton University--SUNY,"#808
Tie",United States,USNEWS
Donghua University,"#808
Tie",China,USNEWS
All India Institute of Medical Sciences,"#810
Tie",India,USNEWS
Federal University of Paraná,"#810
Tie",Brazil,USNEWS
Nanjing Medical University,"#810
Tie",China,USNEWS
Tarbiat Modares University,"#810
Tie",Iran,USNEWS
Universidade Federal de Pelotas,"#810
Tie",Brazil,USNEWS
Cukurova University,"#815
Tie",Turkey,USNEWS
University of North Carolina--Charlotte,"#815
Tie",United States,USNEWS
Maynooth University,"#817
Tie",Ireland,USNEWS
Universite de Haute-Alsace (UHA),"#817
Tie",France,USNEWS
China Medical University Taiwan,"#819
Tie",Taiwan,USNEWS
Mississippi State University,"#819
Tie",United States,USNEWS
Nanjing Normal University,"#819
Tie",China,USNEWS
"Northwest University, Xi'an","#819
Tie",China,USNEWS
Universidade Federal de Sao Joao del-Rei,"#819
Tie",Brazil,USNEWS
University of Akron,"#819
Tie",United States,USNEWS
University of Alabama--Huntsville,"#819
Tie",United States,USNEWS
Federal University of Sao Carlos,#826,Brazil,USNEWS
Hohai University,"#827
Tie",China,USNEWS
Konkuk University,"#827
Tie",South Korea,USNEWS
Mersin University,"#827
Tie",Turkey,USNEWS
National Polytechnic Institute,"#827
Tie",Mexico,USNEWS
National Sun Yat-Sen University,"#827
Tie",Taiwan,USNEWS
University of Maribor,"#827
Tie",Slovenia,USNEWS
Federal University of Pernambuco,"#833
Tie",Brazil,USNEWS
National Yang-Ming University,"#833
Tie",Taiwan,USNEWS
ShanghaiTech University,"#833
Tie",China,USNEWS
University of Wrocław,"#833
Tie",Poland,USNEWS
Beijing University of Posts,"#837
Tie",China,USNEWS
Dublin City University,"#837
Tie",Ireland,USNEWS
Tuscia University,"#837
Tie",Italy,USNEWS
University of Neuchatel,"#837
Tie",Switzerland,USNEWS
Charles Darwin University,"#841
Tie",Australia,USNEWS
Creighton University,"#841
Tie",United States,USNEWS
Northwest A&F University - China,"#841
Tie",China,USNEWS
Universidade Federal do Ceara,"#841
Tie",Brazil,USNEWS
University of Stirling,"#841
Tie",United Kingdom,USNEWS
University of Tabriz,"#841
Tie",Iran,USNEWS
California Polytechnic State University--San Luis Obispo,"#847
Tie",United States,USNEWS
Harbin Engineering University,"#847
Tie",China,USNEWS
Texas A&M Health Science Center,"#847
Tie",United States,USNEWS
Banaras Hindu University,"#850
Tie",India,USNEWS
Sabanci University,"#850
Tie",Turkey,USNEWS
Shiraz University,"#850
Tie",Iran,USNEWS
Universidad Costa Rica,"#850
Tie",Costa Rica,USNEWS
University of Texas--Rio Grande Valley,"#850
Tie",United States,USNEWS
Tecnologico de Monterrey,"#855
Tie",Mexico,USNEWS
Zhejiang University of Technology,"#855
Tie",China,USNEWS
Universidad de Antioquia,"#857
Tie",Colombia,USNEWS
Universidad de Cordoba,"#857
Tie",Spain,USNEWS
Universidad de Malaga,"#857
Tie",Spain,USNEWS
Bohai University,"#860
Tie",China,USNEWS
University of Limerick,"#860
Tie",Ireland,USNEWS
University of Sassari,"#860
Tie",Italy,USNEWS
University of Ulster,"#860
Tie",United Kingdom,USNEWS
Gaziantep University,"#864
Tie",Turkey,USNEWS
Keele University,"#864
Tie",United Kingdom,USNEWS
Taipei Medical University,"#864
Tie",Taiwan,USNEWS
Mashhad University Medical Science,"#867
Tie",Iran,USNEWS
University of Louisiana--Lafayette,"#867
Tie",United States,USNEWS
University of Nairobi,"#867
Tie",Kenya,USNEWS
Iran University Science & Technology,"#870
Tie",Iran,USNEWS
University of Southern Queensland,"#870
Tie",Australia,USNEWS
Universitat Kassel,"#872
Tie",Germany,USNEWS
University of Bucharest,"#872
Tie",Romania,USNEWS
University of London Royal Veterinary College,"#872
Tie",United Kingdom,USNEWS
Indian Institute of Technology (IIT) - Indore,"#875
Tie",India,USNEWS
Marmara University,"#875
Tie",Turkey,USNEWS
National University of Cordoba,"#875
Tie",Argentina,USNEWS
University of Veterinary Medicine Vienna,"#875
Tie",Austria,USNEWS
European University Institute,"#879
Tie",Italy,USNEWS
Inha University,"#879
Tie",South Korea,USNEWS
South China Agricultural University,"#879
Tie",China,USNEWS
Tokyo University of Science,"#879
Tie",Japan,USNEWS
Universidad de Alcala,"#879
Tie",Spain,USNEWS
Universite de Tunis-El-Manar,"#879
Tie",Tunisia,USNEWS
Assiut University,"#885
Tie",Egypt,USNEWS
Kangwon National University,"#885
Tie",South Korea,USNEWS
Portland State University,"#885
Tie",United States,USNEWS
Southwest University - China,"#885
Tie",China,USNEWS
Ferdowsi University Mashhad,"#889
Tie",Iran,USNEWS
International Islamic University Malaysia,"#889
Tie",Malaysia,USNEWS
Tomsk Polytechnic University,"#889
Tie",Russia,USNEWS
Universidade Federal da Bahia,"#889
Tie",Brazil,USNEWS
Chiang Mai University,"#893
Tie",Thailand,USNEWS
Chung Ang University,"#893
Tie",South Korea,USNEWS
CUNY--Hunter College,"#893
Tie",United States,USNEWS
North China Electric Power University,"#893
Tie",China,USNEWS
Rhodes University,"#893
Tie",South Africa,USNEWS
Graduate University for Advanced Studies - Japan,"#898
Tie",Japan,USNEWS
Niigata University,"#898
Tie",Japan,USNEWS
Southern Cross University,"#898
Tie",Australia,USNEWS
University of Kaiserslautern,"#898
Tie",Germany,USNEWS
Universidade Federal Fluminense,"#902
Tie",Brazil,USNEWS
University of Paderborn,"#902
Tie",Germany,USNEWS
Gyeongsang National University,"#904
Tie",South Korea,USNEWS
Hong Kong Institute of Education,"#904
Tie",Hong Kong,USNEWS
Nanchang University,"#904
Tie",China,USNEWS
Ryerson University,"#904
Tie",Canada,USNEWS
Sultan Qaboos University,"#904
Tie",Oman,USNEWS
University of Oklahoma Health Sciences Center,"#904
Tie",United States,USNEWS
University of South Bohemia Ceske Budejovice,"#904
Tie",Czech Republic,USNEWS
Fujian Agriculture,"#911
Tie",China,USNEWS
National University of Defence Technology - China,"#911
Tie",China,USNEWS
Uniformed Services University of the Health Sciences,"#911
Tie",United States,USNEWS
Chang Gung University,"#914
Tie",Taiwan,USNEWS
Ege University,"#914
Tie",Turkey,USNEWS
Jinan University,"#914
Tie",China,USNEWS
Ritsumeikan University,"#914
Tie",Japan,USNEWS
Universidade Federal do Rio Grande do Norte,"#914
Tie",Brazil,USNEWS
University of Castilla-La Mancha,"#914
Tie",Spain,USNEWS
University of Arkansas Medical Sciences,#920,United States,USNEWS
Brno University of Technology,"#921
Tie",Czech Republic,USNEWS
Southern Illinois University--Carbondale,"#921
Tie",United States,USNEWS
University of Ghana,"#921
Tie",Ghana,USNEWS
University of Toledo,#924,United States,USNEWS
Shandong University of Science & Technology,#925,China,USNEWS
Indian Institute of Technology (IIT) - Guwahati,"#926
Tie",India,USNEWS
Wroclaw Medical University,"#926
Tie",Poland,USNEWS
Guangzhou University,"#928
Tie",China,USNEWS
Nova Southeastern University,"#928
Tie",United States,USNEWS
Suez Canal University,"#928
Tie",Egypt,USNEWS
Anglia Ruskin University,"#931
Tie",United Kingdom,USNEWS
Manchester Metropolitan University,"#931
Tie",United Kingdom,USNEWS
Middlesex University,"#931
Tie",United Kingdom,USNEWS
Nagasaki University,"#931
Tie",Japan,USNEWS
Northeast Normal University - China,"#931
Tie",China,USNEWS
Central Queensland University,"#936
Tie",Australia,USNEWS
Jadavpur University,"#936
Tie",India,USNEWS
Beijing Forestry University,"#938
Tie",China,USNEWS
Hofstra University,"#938
Tie",United States,USNEWS
University of New Brunswick,"#938
Tie",Canada,USNEWS
Bournemouth University,"#941
Tie",United Kingdom,USNEWS
Nanjing University of Posts & Telecommunications,"#941
Tie",China,USNEWS
Universita Ca Foscari Venezia,"#941
Tie",Italy,USNEWS
Budapest University of Technology & Economics,#944,Hungary,USNEWS
Kumamoto University,"#945
Tie",Japan,USNEWS
National Taiwan Normal University,"#945
Tie",Taiwan,USNEWS
Qufu Normal University,"#945
Tie",China,USNEWS
Abo Akademi University,"#948
Tie",Finland,USNEWS
Kanazawa University,"#948
Tie",Japan,USNEWS
Universiti Teknologi MARA,"#948
Tie",Malaysia,USNEWS
Beni-Suef University,"#951
Tie",Egypt,USNEWS
Capital Medical University,"#951
Tie",China,USNEWS
Christian Medical College & Hospital (CMCH) Vellore,"#951
Tie",India,USNEWS
Fourth Military Medical University,"#951
Tie",China,USNEWS
Hamburg University of Technology,"#951
Tie",Germany,USNEWS
National University of Sciences & Technology - Pakistan,"#951
Tie",Pakistan,USNEWS
Universite de Sfax,"#951
Tie",Tunisia,USNEWS
University of South Africa,"#951
Tie",South Africa,USNEWS
Universitat de Lleida,"#959
Tie",Spain,USNEWS
Yokohama City University,"#959
Tie",Japan,USNEWS
Hangzhou Normal University,"#961
Tie",China,USNEWS
Wroclaw University of Technology,"#961
Tie",Poland,USNEWS
Athens Medical School,"#963
Tie",Greece,USNEWS
China Pharmaceutical University,"#963
Tie",China,USNEWS
Federal University of Vicosa,"#963
Tie",Brazil,USNEWS
Gazi University,"#963
Tie",Turkey,USNEWS
Universidad Austral de Chile,"#963
Tie",Chile,USNEWS
Ajou University,"#968
Tie",South Korea,USNEWS
Fordham University,"#968
Tie",United States,USNEWS
Polytechnic Institute of Porto,"#970
Tie",Portugal,USNEWS
University of the Free State,"#970
Tie",South Africa,USNEWS
San Francisco State University,"#972
Tie",United States,USNEWS
Universidad de Valladolid,"#972
Tie",Spain,USNEWS
University of Hertfordshire,"#972
Tie",United Kingdom,USNEWS
Zhejiang Normal University,"#972
Tie",China,USNEWS
Adiyaman University,"#976
Tie",Turkey,USNEWS
Oxford Brookes University,"#976
Tie",United Kingdom,USNEWS
Universidade do Algarve,"#976
Tie",Portugal,USNEWS
University of the Sunshine Coast,"#976
Tie",Australia,USNEWS
University of Yaounde I,"#976
Tie",Cameroon,USNEWS
North Dakota State University,"#981
Tie",United States,USNEWS
Qingdao University,"#981
Tie",China,USNEWS
Florida Atlantic University,#983,United States,USNEWS
Loma Linda University,"#984
Tie",United States,USNEWS
Nicolaus Copernicus University,"#984
Tie",Poland,USNEWS
University of Central Lancashire,"#984
Tie",United Kingdom,USNEWS
Jacobs University,"#987
Tie",Germany,USNEWS
Kafkas University,"#987
Tie",Turkey,USNEWS
Miami University--Oxford,"#987
Tie",United States,USNEWS
Southern Medical University - China,"#987
Tie",China,USNEWS
University of Pavol Jozef Safarik Kosice,"#987
Tie",Slovakia,USNEWS
Chungnam National University,"#992
Tie",South Korea,USNEWS
University of North Dakota,"#992
Tie",United States,USNEWS
Xiangtan University,"#992
Tie",China,USNEWS
Medical University Gdansk,"#995
Tie",Poland,USNEWS
University of Malawi,"#995
Tie",Malawi,USNEWS
University of Picardie-Jules-Verne,"#995
Tie",France,USNEWS
Massachusetts Institute of Technology (MIT),,,
,,,
Stanford University,,,
,,,
Harvard University,,,
,,,
California Institute of Technology (Caltech),,,
,,,
University of Cambridge,,,
,,,
University of Oxford,,,
,,,
UCL,,,
,,,
Imperial College London,,,
,,,
University of Chicago,,,
,,,
ETH Zurich - Swiss Federal Institute of Technology,,,
,,,
"Nanyang Technological University, Singapore (NTU)",,,
,,,
EPFL - Ecole Polytechnique Federale de Lausanne,,,
,,,
Princeton University,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
